time;FM1;FM2;FM3;FF1;FF2;FF3;mean_behaviour_rate;classes;EDA;is_peak
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[12.7899, 12.7899, 12.7914, 12.7914, 12.7914, 12.793, 12.793, 12.793, 12.7945, 12.7945, 12.796, 12.796, 12.7975, 12.7975, 12.7975, 12.7991, 12.7991, 12.8006, 12.8006, 12.8021, 12.8021, 12.8021, 12.8036, 12.8036, 12.8036, 12.8036, 12.8036, 12.8036, 12.8052, 12.8052, 12.8052, 12.8067, 12.8067, 12.8067, 12.8082, 12.8082, 12.8098, 12.8098, 12.8098, 12.8098];0
0.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[12.8113, 12.8113, 12.8113, 12.8128, 12.8128, 12.8128, 12.8128, 12.8143, 12.8143, 12.8143, 12.8143, 12.8159, 12.8159, 12.8174, 12.8174, 12.8174, 12.8189, 12.8189, 12.8189, 12.8189, 12.8204, 12.8204, 12.8204, 12.8204, 12.8204, 12.8204, 12.8204, 12.8204, 12.8204, 12.822, 12.822, 12.822, 12.822, 12.8235, 12.8235, 12.8235, 12.825, 12.825, 12.825, 12.8265];0
0.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[12.8265, 12.8265, 12.8265, 12.8281, 12.8281, 12.8281, 12.8281, 12.8281, 12.8281, 12.8281, 12.8296, 12.8296, 12.8296, 12.8296, 12.8296, 12.8311, 12.8311, 12.8311, 12.8326, 12.8326, 12.8326, 12.8326, 12.8326, 12.8342, 12.8342, 12.8342, 12.8342, 12.8357, 12.8357, 12.8357, 12.8357, 12.8372, 12.8372, 12.8372, 12.8372, 12.8387, 12.8387, 12.8387, 12.8387, 12.8387];0
0.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[12.8387, 12.8387, 12.8387, 12.8387, 12.8387, 12.8387, 12.8387, 12.8387, 12.8387, 12.8387, 12.8387, 12.8387, 12.8387, 12.8403, 12.8403, 12.8403, 12.8418, 12.8418, 12.8418, 12.8433, 12.8433, 12.8433, 12.8433, 12.8448, 12.8448, 12.8448, 12.8448, 12.8448, 12.8448, 12.8448, 12.8448, 12.8448, 12.8448, 12.8448, 12.8464, 12.8464, 12.8464, 12.8464, 12.8479, 12.8479];0
0.16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[12.8479, 12.8479, 12.8494, 12.8494, 12.8494, 12.8494, 12.8494, 12.8494, 12.8494, 12.851, 12.851, 12.851, 12.851, 12.8525, 12.8525, 12.8525, 12.8525, 12.854, 12.854, 12.854, 12.854, 12.854, 12.854, 12.854, 12.854, 12.854, 12.854, 12.854, 12.854, 12.854, 12.854, 12.854, 12.8555, 12.8555, 12.8555, 12.8555, 12.8555, 12.8555, 12.8571, 12.8571];0
0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[12.8571, 12.8571, 12.8571, 12.8586, 12.8586, 12.8586, 12.8586, 12.8586, 12.8586, 12.8586, 12.8586, 12.8601, 12.8601, 12.8601, 12.8601, 12.8601, 12.8616, 12.8616, 12.8616, 12.8616, 12.8616, 12.8616, 12.8616, 12.8616, 12.8616, 12.8616, 12.8616, 12.8616, 12.8616, 12.8616, 12.8632, 12.8632, 12.8632, 12.8632, 12.8647, 12.8647, 12.8647, 12.8647, 12.8662, 12.8662];0
0.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[12.8662, 12.8662, 12.8662, 12.8662, 12.8662, 12.8662, 12.8662, 12.8662, 12.8662, 12.8662, 12.8677, 12.8677, 12.8677, 12.8677, 12.8693, 12.8693, 12.8693, 12.8693, 12.8708, 12.8708, 12.8708, 12.8708, 12.8708, 12.8708, 12.8708, 12.8708, 12.8708, 12.8708, 12.8708, 12.8708, 12.8708, 12.8708, 12.8723, 12.8723, 12.8723, 12.8723, 12.8723, 12.8738, 12.8738, 12.8738];0
0.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[12.8738, 12.8738, 12.8738, 12.8738, 12.8723, 12.8723, 12.8723, 12.8723, 12.8723, 12.8723, 12.8708, 12.8708, 12.8708, 12.8708, 12.8708, 12.8708, 12.8708, 12.8708, 12.8708, 12.8708, 12.8708, 12.8723, 12.8723, 12.8723, 12.8723, 12.8723, 12.8723, 12.8723, 12.8723, 12.8738, 12.8738, 12.8738, 12.8738, 12.8738, 12.8754, 12.8754, 12.8754, 12.8754, 12.8754, 12.8754];0
0.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[12.8754, 12.8754, 12.8754, 12.8754, 12.8754, 12.8754, 12.8754, 12.8754, 12.8754, 12.8754, 12.8754, 12.8754, 12.8754, 12.8769, 12.8769, 12.8769, 12.8769, 12.8784, 12.8784, 12.8784, 12.8784, 12.8784, 12.8784, 12.8784, 12.8784, 12.8784, 12.8784, 12.8784, 12.8784, 12.8784, 12.8784, 12.8784, 12.8784, 12.8784, 12.8784, 12.8784, 12.8784, 12.8784, 12.8784, 12.8784];0
0.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[12.8784, 12.8784, 12.8784, 12.8784, 12.8784, 12.8784, 12.8769, 12.8769, 12.8769, 12.8769, 12.8769, 12.8769, 12.8769, 12.8769, 12.8769, 12.8769, 12.8769, 12.8769, 12.8769, 12.8769, 12.8769, 12.8769, 12.8769, 12.8769, 12.8769, 12.8769, 12.8784, 12.8784, 12.8784, 12.8784, 12.8799, 12.8799, 12.8799, 12.8815, 12.883, 12.883, 12.8845, 12.8845, 12.886, 12.8876];0
0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[12.8876, 12.8876, 12.8891, 12.8891, 12.8891, 12.8891, 12.8891, 12.8891, 12.8891, 12.8891, 12.8891, 12.8876, 12.8876, 12.8876, 12.8876, 12.886, 12.886, 12.886, 12.8845, 12.8845, 12.8845, 12.883, 12.883, 12.8815, 12.8815, 12.8799, 12.8799, 12.8799, 12.8784, 12.8784, 12.8784, 12.8784, 12.8784, 12.8784, 12.8784, 12.8784, 12.8784, 12.8784, 12.8784, 12.8784];0
