time;FM1;FM2;FM3;FF1;FF2;FF3;mean_behaviour_rate;classes;EDA;is_peak
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[22.2702, 22.2702, 22.2702, 22.2702, 22.2717, 22.2717, 22.2717, 22.2717, 22.2717, 22.2717, 22.2702, 22.2702, 22.2687, 22.2687, 22.2687, 22.2672, 22.2672, 22.2672, 22.2656, 22.2656, 22.2656, 22.2656, 22.2672, 22.2672, 22.2672, 22.2672, 22.2672, 22.2656, 22.2656, 22.2656, 22.2641, 22.2641, 22.2626, 22.2626, 22.261, 22.261, 22.261, 22.2595, 22.2595, 22.2595];0
0.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[22.2595, 22.2595, 22.261, 22.261, 22.261, 22.261, 22.261, 22.261, 22.261, 22.261, 22.2595, 22.2595, 22.258, 22.258, 22.2565, 22.2549, 22.2549, 22.2549, 22.2534, 22.2534, 22.2534, 22.2534, 22.2534, 22.2534, 22.2534, 22.2534, 22.2534, 22.2534, 22.2534, 22.2534, 22.2519, 22.2519, 22.2504, 22.2504, 22.2488, 22.2488, 22.2473, 22.2473, 22.2458, 22.2458];0
0.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[22.2458, 22.2458, 22.2458, 22.2458, 22.2458, 22.2458, 22.2443, 22.2443, 22.2443, 22.2427, 22.2427, 22.2412, 22.2397, 22.2397, 22.2382, 22.2366, 22.2366, 22.2351, 22.2351, 22.2336, 22.2336, 22.2336, 22.2336, 22.2336, 22.2336, 22.2336, 22.2321, 22.2321, 22.2305, 22.2305, 22.229, 22.229, 22.2275, 22.226, 22.2244, 22.2244, 22.2229, 22.2229, 22.2214, 22.2214];0
0.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[22.2198, 22.2198, 22.2198, 22.2198, 22.2183, 22.2183, 22.2183, 22.2168, 22.2153, 22.2153, 22.2137, 22.2122, 22.2107, 22.2092, 22.2076, 22.2061, 22.2046, 22.2046, 22.2031, 22.2031, 22.2015, 22.2015, 22.2015, 22.2015, 22.2, 22.2, 22.2, 22.1985, 22.1985, 22.197, 22.1954, 22.1939, 22.1939, 22.1924, 22.1909, 22.1893, 22.1893, 22.1878, 22.1878, 22.1878];0
0.16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[22.1878, 22.1878, 22.1878, 22.1878, 22.1863, 22.1863, 22.1863, 22.1863, 22.1848, 22.1832, 22.1832, 22.1817, 22.1802, 22.1786, 22.1771, 22.1756, 22.1741, 22.1741, 22.1725, 22.1725, 22.171, 22.171, 22.171, 22.171, 22.171, 22.171, 22.1695, 22.1695, 22.168, 22.168, 22.1664, 22.1649, 22.1649, 22.1634, 22.1619, 22.1603, 22.1588, 22.1588, 22.1573, 22.1558];0
0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[22.1558, 22.1558, 22.1558, 22.1542, 22.1542, 22.1542, 22.1527, 22.1527, 22.1512, 22.1512, 22.1497, 22.1481, 22.1466, 22.1451, 22.1436, 22.142, 22.1405, 22.139, 22.1375, 22.1375, 22.1359, 22.1344, 22.1344, 22.1329, 22.1329, 22.1313, 22.1298, 22.1298, 22.1283, 22.1268, 22.1237, 22.1222, 22.1207, 22.1191, 22.1176, 22.1146, 22.113, 22.1115, 22.11, 22.1085];0
0.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[22.1069, 22.1069, 22.1054, 22.1039, 22.1024, 22.1008, 22.1008, 22.0993, 22.0978, 22.0963, 22.0947, 22.0932, 22.0917, 22.0901, 22.0886, 22.0871, 22.0871, 22.0856, 22.0856, 22.0856, 22.0856, 22.0856, 22.0856, 22.0871, 22.0871, 22.0871, 22.0871, 22.0871, 22.0856, 22.084, 22.0825, 22.081, 22.0795, 22.0779, 22.0764, 22.0749, 22.0734, 22.0718, 22.0703, 22.0688];0
0.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[22.0673, 22.0673, 22.0657, 22.0657, 22.0642, 22.0642, 22.0642, 22.0642, 22.0627, 22.0627, 22.0612, 22.0612, 22.0596, 22.0581, 22.0581, 22.0566, 22.0566, 22.0566, 22.0566, 22.0566, 22.0566, 22.0566, 22.0581, 22.0581, 22.0581, 22.0596, 22.0596, 22.0596, 22.0596, 22.0612, 22.0612, 22.0612, 22.0612, 22.0612, 22.0627, 22.0627, 22.0627, 22.0627, 22.0642, 22.0642];0
0.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[22.0657, 22.0673, 22.0673, 22.0688, 22.0703, 22.0703, 22.0703, 22.0718, 22.0718, 22.0718, 22.0703, 22.0703, 22.0703, 22.0688, 22.0688, 22.0688, 22.0673, 22.0673, 22.0673, 22.0673, 22.0688, 22.0688, 22.0688, 22.0703, 22.0703, 22.0718, 22.0718, 22.0734, 22.0734, 22.0734, 22.0734, 22.0734, 22.0734, 22.0734, 22.0718, 22.0718, 22.0718, 22.0718, 22.0718, 22.0718];0
0.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[22.0734, 22.0734, 22.0749, 22.0749, 22.0764, 22.0764, 22.0779, 22.0779, 22.0779, 22.0779, 22.0779, 22.0779, 22.0779, 22.0779, 22.0779, 22.0779, 22.0764, 22.0764, 22.0764, 22.0764, 22.0764, 22.0764, 22.0764, 22.0764, 22.0764, 22.0764, 22.0764, 22.0749, 22.0749, 22.0749, 22.0734, 22.0718, 22.0718, 22.0703, 22.0688, 22.0688, 22.0673, 22.0673, 22.0657, 22.0657];0
